SKU,Producto,#,Tarea,Duracion_dias,Depende_de,Tipo_dep,Inicio_plan,Fin_plan,Estatus,Inicio_real,Fin_real,Dur_real_dias,Desvio_dias
Promocional A,PROMOCIONAL A,1,Muestras finalizadas en China,30,,,2026-05-28,2026-06-27,En curso,2026-06-03,2026-06-27,24,
Promocional A,PROMOCIONAL A,2,Courier a Mexico,10,1,,2026-06-27,2026-07-07,Pendiente,2026-06-29,,,
Promocional A,PROMOCIONAL A,3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-07-07,2026-07-12,Pendiente,2026-07-25,,,
Promocional A,PROMOCIONAL A,4,Reunión con Comité y entrega de muestras,12,2,FI,2026-07-07,2026-07-19,Pendiente,2026-07-15,,,
Promocional A,PROMOCIONAL A,5,Confirmación de muestras y packaging,4,4,FI,2026-07-19,2026-07-23,Pendiente,2026-07-25,,,
Promocional A,PROMOCIONAL A,6,Master Cloé (modelo & upc),7,5,FI,2026-07-23,2026-07-30,Pendiente,2026-07-31,,,
Promocional A,PROMOCIONAL A,7,Producción de producto,60,6,FI,2026-07-30,2026-09-28,Pendiente,2026-08-03,,,
Promocional A,PROMOCIONAL A,8,Producción de packaging,30,6,FI,2026-07-30,2026-08-29,Pendiente,2026-08-03,,,
Promocional A,PROMOCIONAL A,9,Muestras de producción a México (fotografía),45,7,II,2026-07-30,2026-09-13,Pendiente,2026-09-15,,,
Promocional A,PROMOCIONAL A,10,Gestión proveedores Cloé,60,7,II,2026-07-30,2026-09-28,Pendiente,2026-08-03,,,
Promocional A,PROMOCIONAL A,11,Inspección,7,,,2026-09-28,2026-10-05,Pendiente,,,,
Promocional A,PROMOCIONAL A,12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-10-05,2026-10-20,Pendiente,,,,
Promocional A,PROMOCIONAL A,13,Tránsito marítimo,35,12,FI,2026-10-20,2026-11-24,Pendiente,,,,
Promocional A,PROMOCIONAL A,14,Aduana México,10,13,FI,2026-11-24,2026-12-04,Pendiente,,,,
Promocional A,PROMOCIONAL A,15,Lanzamiento,1,14,FI,2026-12-04,2026-12-05,Pendiente,,,,
Promocional B,PROMOCIONAL B,1,Muestras finalizadas en China,30,,,2026-05-28,2026-06-27,En curso,2026-06-03,2026-06-27,24,
Promocional B,PROMOCIONAL B,2,Courier a Mexico,10,1,,2026-06-27,2026-07-07,Pendiente,2026-06-29,,,
Promocional B,PROMOCIONAL B,3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-07-07,2026-07-12,Pendiente,2026-07-25,,,
Promocional B,PROMOCIONAL B,4,Reunión con Comité y entrega de muestras,12,2,FI,2026-07-07,2026-07-19,Pendiente,2026-07-15,,,
Promocional B,PROMOCIONAL B,5,Confirmación de muestras y packaging,4,4,FI,2026-07-19,2026-07-23,Pendiente,2026-07-25,,,
Promocional B,PROMOCIONAL B,6,Master Cloé (modelo & upc),7,5,FI,2026-07-23,2026-07-30,Pendiente,2026-07-31,,,
Promocional B,PROMOCIONAL B,7,Producción de producto,60,6,FI,2026-07-30,2026-09-28,Pendiente,2026-08-03,,,
Promocional B,PROMOCIONAL B,8,Producción de packaging,30,6,FI,2026-07-30,2026-08-29,Pendiente,2026-08-03,,,
Promocional B,PROMOCIONAL B,9,Muestras de producción a México (fotografía),45,7,II,2026-07-30,2026-09-13,Pendiente,2026-09-15,,,
Promocional B,PROMOCIONAL B,10,Gestión proveedores Cloé,60,7,II,2026-07-30,2026-09-28,Pendiente,2026-08-03,,,
Promocional B,PROMOCIONAL B,11,Inspección,7,,,2026-09-28,2026-10-05,Pendiente,,,,
Promocional B,PROMOCIONAL B,12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-10-05,2026-10-20,Pendiente,,,,
Promocional B,PROMOCIONAL B,13,Tránsito marítimo,35,12,FI,2026-10-20,2026-11-24,Pendiente,,,,
Promocional B,PROMOCIONAL B,14,Aduana México,10,13,FI,2026-11-24,2026-12-04,Pendiente,,,,
Promocional B,PROMOCIONAL B,15,Lanzamiento,1,14,FI,2026-12-04,2026-12-05,Pendiente,,,,
Promocional C,PROMOCIONAL C,1,Muestras finalizadas en China,30,,,2026-05-28,2026-06-27,En curso,2026-06-03,2026-06-27,24,
Promocional C,PROMOCIONAL C,2,Courier a Mexico,10,1,,2026-06-27,2026-07-07,Pendiente,2026-06-29,,,
Promocional C,PROMOCIONAL C,3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-07-07,2026-07-12,Pendiente,2026-07-25,,,
Promocional C,PROMOCIONAL C,4,Reunión con Comité y entrega de muestras,12,2,FI,2026-07-07,2026-07-19,Pendiente,2026-07-15,,,
Promocional C,PROMOCIONAL C,5,Confirmación de muestras y packaging,4,4,FI,2026-07-19,2026-07-23,Pendiente,2026-07-25,,,
Promocional C,PROMOCIONAL C,6,Master Cloé (modelo & upc),7,5,FI,2026-07-23,2026-07-30,Pendiente,2026-07-31,,,
Promocional C,PROMOCIONAL C,7,Producción de producto,60,6,FI,2026-07-30,2026-09-28,Pendiente,2026-08-03,,,
Promocional C,PROMOCIONAL C,8,Producción de packaging,30,6,FI,2026-07-30,2026-08-29,Pendiente,2026-08-03,,,
Promocional C,PROMOCIONAL C,9,Muestras de producción a México (fotografía),45,7,II,2026-07-30,2026-09-13,Pendiente,2026-09-15,,,
Promocional C,PROMOCIONAL C,10,Gestión proveedores Cloé,60,7,II,2026-07-30,2026-09-28,Pendiente,2026-08-03,,,
Promocional C,PROMOCIONAL C,11,Inspección,7,,,2026-09-28,2026-10-05,Pendiente,,,,
Promocional C,PROMOCIONAL C,12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-10-05,2026-10-20,Pendiente,,,,
Promocional C,PROMOCIONAL C,13,Tránsito marítimo,35,12,FI,2026-10-20,2026-11-24,Pendiente,,,,
Promocional C,PROMOCIONAL C,14,Aduana México,10,13,FI,2026-11-24,2026-12-04,Pendiente,,,,
Promocional C,PROMOCIONAL C,15,Lanzamiento,1,14,FI,2026-12-04,2026-12-05,Pendiente,,,,
